#subject	order	variable	frenchUnity	englishUnity	frenchDescription	englishDescription		
SafeCell	1	cropSpeciesName	-	-	Culture	aa-Species	
SafeCell	1	activeNitrogenHumusStock	kg N ha-1	kg N ha-1	Azote de l'humus actif pour la minéralisation	Humus nitrogen active for mineralisation		
SafeCell	1	capillaryRise	liters	liters	Eau de remontées capillaires	Water capillary rise		
SafeCell	1	diffuseParIncident	Moles m-2	Mol. m-2	Rayonnement PAR diffus incident	Radiation daily diffuse incident PAR		
SafeCell	1	directParIncident	Moles m-2	Mol. m-2	Rayonnement PAR direct incident	Radiation daily direct incident PAR
SafeCell	1	diffuseParIntercepted	Moles m-2	Mol. m-2	Rayonnement PAR diffus intercepté	Radiation daily diffuse intercepted PAR		
SafeCell	1	directParIntercepted	Moles m-2	Mol. m-2	Rayonnement PAR direct intercepté	Radiation daily direct intercepted PAR		
SafeCell	1	drainage	liters	liters	Eau drainée en profondeur	Water drained		
SafeCell	1	etpCalculated	mm	mm	ETP calculé	ETP calculated		
SafeCell	1	nitrogenAmendement	kg N ha-1	kg N ha-1	Azote volatilisation amendement	Nitrogen amendement		
SafeCell	1	nitrogenDenitrification	kg N ha-1	kg N ha-1	Azote de denitrification	Nitrogen denitrification		
SafeCell	1	nitrogenExportation	kg N ha-1	kg N ha-1	Azote exportée 	Nitrogen exportation		
SafeCell	1	nitrogenFertilisation	kg N ha-1	kg N ha-1	Azote dans fertilisation	Nitrogen fertilisation		
SafeCell	1	nitrogenFixation	kg N ha-1	kg N ha-1	Azote fixation symbiotique	Nitrogen fixation		
SafeCell	1	nitrogenHumusMineralisation	kg N ha-1	kg N ha-1	Azote humus minéralisée 	Nitrogen Humus mineralisation		
SafeCell	1	nitrogenHumusStock	kg N ha-1	kg N ha-1	Azote de l'humus	Humus nitrogen		
SafeCell	1	nitrogenIrrigation	kg N ha-1	kg N ha-1	Azote dans irrigations	Nitrogen irrigation		
SafeCell	1	nitrogenLixiviation	kg N ha-1	kg N ha-1	Azote lixivée	Nitrogen lixiviation		
SafeCell	1	nitrogenOrganisation	kg N ha-1	kg N ha-1	Azote organisation engrais	Nitrogen organisation		
SafeCell	1	nitrogenRain	kg N ha-1	kg N ha-1	Azote dans pluies	Nitrogen rain		
SafeCell	1	nitrogenResiduMineralisation	kg N ha-1	kg N ha-1	Azote residu minéralisée 	Nitrogen residu mineralisation		
SafeCell	1	nitrogenRestitution	kg N ha-1	kg N ha-1	Azote restituée	Nitrogen restitution		
SafeCell	1	nitrogenVolatilisation	kg N ha-1	kg N ha-1	Azote volatilisation engrais	Nitrogen volatilisation		
SafeCell	1	relativeDiffuseParIncident	%	%	Proportion de PAR diffus incident	Proportion of diffuse PAR incident		
SafeCell	1	relativeDirectParIncident	%	%	Proportion de PAR direct incident	Proportion of direct PAR incident		
SafeCell	1	relativeGlobalRadIncident	%	%	Proportion de rayonnement global incident (PAR + NIR)	Proportion of global radiation incident (PAR + NIR)		
SafeCell	1	relativeTotalParIncident	%	%	Proportion de PAR incident (diffus + direct)	Proportion of PAR incident (diffuse + direct)		
SafeCell	1	runOff	mm	mm	Eau de ruissellement de surface	Water surface run off		
SafeCell	1	soilEvaporation	mm	mm	Eau évaporée par le sol	Water soil evaporation		
SafeCell	1	surfaceRunOff	mm	mm	Eau de ruissellement	Water run off		
SafeCell	1	temperature	°C	°C	Température	Temperature		
SafeCell	1	totalCapillaryRise	mm	mm	Total remontées capillaires	Total capillary rise		
SafeCell	1	totalDrainage	mm	mm	Total drainage	Total drainage		
SafeCell	1	totalIrrigation	mm	mm	Total irrigations	Total irrigations		
SafeCell	1	totalRunOff	mm	mm	Total ruissellement	Total run off		
SafeCell	1	totalSoilEvaporation	mm	mm	Total evaporation du sol	Total evaporation 		
SafeCell	1	totalSurfaceRunOff	mm	mm	Total ruissellement de surface	Total surface run off		
SafeCell	1	totalWaterDemand	liters	liters	Total demande en eau 	Total water demad		
SafeCell	1	totalWaterUptake	liters	liters	Total extraction en eau 	Total water uptake		
SafeCell	1	totalNitrogenDemand	kg N ha-1	kg N ha-1	Total demande en zote 	Total nitrogen demad		
SafeCell	1	totalNitrogenUptake	kg N ha-1	kg N ha-1	Total extraction en azote 	Total nitrogen extract		
SafeCell	1	transmittedRain	mm	mm	Eau de pluie transmise	Water transmitted rain		
SafeCell	1	transmittedStemflow	mm	mm	Stemflow transmis	Transmitted stemflow		
SafeCell	1	visibleSky	%	%	Proportion de ciel visible	Proportion of visible sky		
SafeCell	1	waterExtractedInSaturationByTrees	liters	liters	Eau extraite par les arbres dans les voxels saturées 	Water utake by trees in saturated voxels 		
SafeCell	1	waterExtractedInSaturationByCrops	liters	liters	Eau extraite par les cultures dans les voxels saturées 	Water utake by crops in saturated voxels 		
SafeCell	1	waterProvidedBySaturation	liters	liters	Eau produite par saturation des voxels par la nappe	Water provided by water table to saturated voxels		
SafeCell	1	waterTakenByDesaturation	liters	liters	Eau perdue par desaturation nappe	Water taken by water table to desaturated voxels		
SafeCell	1	cropSpeciesName	-	-	Culture	Crop species		
SafeCell	1	actualWaterPotential	cm	cm	Potentiel en eau plante	Crop water potential		
SafeCell	1	yield	t.ha-1	t.ha-1	Rendement de la culture	Crop yield		
SafeCell	1	lai	m2.m-2	m2.m-2	Lai	Lai		
SafeCell	1	eai	m2.m-2	m2.m-2	Eai	Eai		
SafeCell	1	sla	cm2.g-1	cm2.g-1	Sla	Sla
SafeCell	1	rootDepth	m	m	Profondeur racine culture	Crop root depth		
SafeCell	1	yieldMax	t.ha-1	t.ha-1	Rendement de la culture max	Crop yield max		
SafeCell	1	laiMax	m2.m-2	m2.m-2	Lai max	Lai max		
SafeCell	1	eaiMax	m2.m-2	m2.m-2	Eai max	Eai max		
SafeCell	1	rootDepthMax	m	m	Profondeur racine culture max	Crop root depth max		
SafeCell	1	biomass	 t.ha-1	 t.ha-1	Biomasse culture	Crop biomass	
SafeCell	1	phenologicStage	-	-	phenologicStage	phenologicStage	
SafeCell	1	monthDirectPar	moles.m-2	moles.m-2	month Direct Par	month Direct Par
SafeCell	1	monthDiffusePar	moles.m-2	moles.m-2	month Diffuse Par	month Diffuse Par
SafeCell	1	monthDirectParIntercepted	moles.m-2	moles.m-2	month Direct Par Intercepted	month Direct Par Intercepted
SafeCell	1	monthDiffuseParIntercepted	moles.m-2	moles.m-2	month Diffuse Par Intercepted	month Diffuse Par Intercepted
SafeCell	1	monthDirectParIncident	moles.m-2	moles.m-2	month Direct Par Incident	month Direct Par Incident
SafeCell	1	monthDiffuseParIncident	moles.m-2	moles.m-2	month Diffuse Par Incident	month Diffuse Par Incident
SafeCell	1	monthRelativeDirectParIncident	%	%	month Relative Direct Par Incident	month Relative Direct Par Incident
SafeCell	1	monthRelativeDiffuseParIncident	%	%	month Relative Diffuse Par Incident	month Relative Diffuse Par Incident
SafeCell	1	monthRelativeTotalParIncident	%	%	month Relative Total Par Incident	month Relative Total Par Incident
SafeCell	1	monthVisibleSky	%	%	month Visible Sky	month Visible Sky
SafeCell	1	monthYield	t.ha-1	t.ha-1	Rendement mensuel moyen de la culture	month Crop yield		
SafeCell	1	monthLai	m2.m-2	m2.m-2	month Lai	month Lai		
SafeCell	1	monthEai	m2.m-2	m2.m-2	month Eai	month Eai
SafeCell	1	monthBiomass	t.ha-1	 t.ha-1	Biomasse mensuelle moyenne culture	month Crop biomass	
SafeCell	1	waterDemand	litres	liters	Eau demandée par la culture	Crop water demand		
SafeCell	1	waterUptake	litres	liters	Eau extraite par la culture	Crop water uptake  		
